,,"Violent Crime Rates (per 100,000 population)",,,,
Prince Edward Island (51),Criminal harassment (36),70.94,80.82,68.49,85.8,75.29
Prince Edward Island (51),Uttering threats,247.23,326.83,279.57,252.58,257.35
Prince Edward Island (51),Threatening or harassing phone calls,158.37,155.97,151.67,133.15,119.09
Prince Edward Island (51),Total other violent violations,9.32,12.05,4.89,4.12,6.16
Prince Edward Island (51),Conspire to commit murder,0,0,0,0,0
Prince Edward Island (51),Other sexual violations,8.6,7.8,0,0,0
Prince Edward Island (51),Sexual Exploitation of a person with a disability,0,0,0,0,0
Prince Edward Island (51),Incest,0,0,0.7,0,0.68
Prince Edward Island (51),Corrupting morals of a child,0,1.42,0,0,0
Prince Edward Island (51),Anal intercourse,0,0,0,0,0
Prince Edward Island (51),"Bestiality, commit or compel person",0,0,0,0,0
Prince Edward Island (51),Voyeurism,0.72,0.71,0.7,2.75,1.37
Prince Edward Island (51),Trap likely to or causing bodily harm,,,0,0,0
Prince Edward Island (51),Hostage-taking,0,0,0,0,0
Prince Edward Island (51),Trafficking in persons,0,0,0,0,0
Prince Edward Island (51),Intimidation of a justice system participant or a journalist,0,0,0,0,0
Prince Edward Island (51),Intimidation of a non-justice participant,0,0.71,2.8,0.69,0.68
Prince Edward Island (51),Explosives causing death or bodily harm,0,0,0,0,0
Prince Edward Island (51),"Arson, disregard for human life",0,0.71,0,0.69,0.68
Prince Edward Island (51),Other violent violations,0,0.71,0.7,0,2.74
Nova Scotia,Total violent Criminal Code violations (16),1709.28,1653.16,1562.29,1452.57,1365.45
Nova Scotia,"Homicide (17,24)",1.28,1.59,2.22,2.32,1.79
Nova Scotia,"Murder, first degree (17,24)",0.43,1.06,1.27,1.05,0.95
Nova Scotia,"Murder, second degree (17,24)",0.64,0.32,0.63,0.74,0.63
Nova Scotia,"Manslaughter (17,24)",0.21,0.21,0.32,0.53,0.21
Nova Scotia,"Infanticide (17,24)",0,0,0,0,0
Nova Scotia,Total other violations causing death,0.11,0.11,0,0.42,0.53
Nova Scotia,Criminal negligence causing death,0.11,0,0,0.42,0.53
Nova Scotia,Other related violations causing death,0,0.11,0,0,0
Nova Scotia,Attempted murder,3.2,4.04,2.54,6.33,3.58
Nova Scotia,"Sexual assault, level 3, aggravated",0.32,0.85,0.63,0.84,0.63
Nova Scotia,"Sexual assault, level 2, weapon or bodily harm",0.85,1.06,1.38,0.63,0.95
Nova Scotia,"Sexual assault, level 1",72.32,71.98,70.04,72.33,68.83
Nova Scotia,Total sexual violations against children (26),2.77,5.32,9.84,11.39,7.59
Nova Scotia,Sexual interference (26),0.43,2.45,3.91,5.27,4.01
Nova Scotia,Invitation to sexual touching (26),0.32,0.43,2.01,2.64,1.05
Nova Scotia,Sexual exploitation (26),0.21,0.53,0.74,0.42,0.21
Nova Scotia,Making sexually explicit material available to children (48),,,,,0
Nova Scotia,Luring a child via a computer (26),1.81,1.91,3.17,3.06,2.32
Nova Scotia,"Assault, level 3, aggravated",9.07,9.68,8.99,9.59,7.17
Nova Scotia,"Assault, level 2, weapon or bodily harm",161.18,161.71,128.23,148.87,145.67
Nova Scotia,"Assault, level 1",693.89,657.16,611.54,586.95,556.55
Nova Scotia,"Total assaults against a peace officer (25,35)",39.04,48.8,89.19,43.02,36.37
Nova Scotia,Total other assaults,2.88,1.49,1.48,1.05,1.16
Nova Scotia,Unlawfully causing bodily harm,0.85,0.11,0.63,0,0.21
Nova Scotia,Criminal negligence causing bodily harm,0.64,0.74,0.74,0.42,0.74
Nova Scotia,Other assaults,1.39,0.64,0.11,0.63,0.21
Nova Scotia,"Total firearms; use of, discharge, pointing",3.09,3.72,6.67,8.33,6.22
Nova Scotia,Discharge firearm with intent,0.85,1.17,2.12,3.27,2.21
Nova Scotia,Using firearm in commission of offence,0.85,0.96,1.48,1.27,1.58
Nova Scotia,Pointing a firearm,1.39,1.59,3.07,3.8,2.42
Nova Scotia,Total robbery (18),61.76,62.09,51.84,49.45,46.48
Nova Scotia,Robbery (18),61.76,62.09,51.74,49.45,46.48
Nova Scotia,Robbery to steal a firearm (18),0,0,0.11,0,0
Nova Scotia,Total forcible confinement or kidnapping (34),15.79,12.33,13.12,11.07,12.44
Nova Scotia,Forcible confinement or kidnapping (34),15.79,12.33,7.83,3.16,3.48
Nova Scotia,Kidnapping (34),,,0.63,0.42,1.26
Nova Scotia,Forcible confinement (34),,,4.66,7.49,7.69
Nova Scotia,Total abduction,0.85,0.85,1.48,1.16,0.53
Nova Scotia,"Abduction under the age 14, not parent or guardian",0.64,0.32,0.32,0.42,0.21
Nova Scotia,Abduction under the age 16,0,0.32,0.32,0,0
Nova Scotia,Removal of children from Canada,0,0,0,0,0
Nova Scotia,Abduction under the age 14 contravening a custody order,0.11,0.21,0.63,0.42,0
Nova Scotia,"Abduction under age 14, by parent or guardian",0.11,0,0.21,0.32,0.32
Nova Scotia,Extortion,3.31,2.55,2.86,2.21,3.58
Nova Scotia,Criminal harassment (36),47.04,50.93,58.3,55.67,66.51
Nova Scotia,Uttering threats,418.68,387.85,366.82,324.21,290.19
Nova Scotia,Threatening or harassing phone calls,159.47,158.63,127.92,105.54,99.72
Nova Scotia,Total other violent violations,12.37,10.42,7.19,11.18,8.96
Nova Scotia,Conspire to commit murder,0.21,0.21,0.11,0,0.21
Nova Scotia,Other sexual violations,7.25,5.21,0.32,0.32,0.21
Nova Scotia,Sexual Exploitation of a person with a disability,0,0,0,0.11,0.32
Nova Scotia,Incest,0.21,0.32,0.85,0.74,0.42
Nova Scotia,Corrupting morals of a child,0.11,0,0,0.11,0.21
Nova Scotia,Anal intercourse,0,0,0,0,0
Nova Scotia,"Bestiality, commit or compel person",0,0,0.21,0.32,0.11
Nova Scotia,Voyeurism,0.21,0.74,0.95,1.58,0.95
Nova Scotia,Trap likely to or causing bodily harm,0,0,0,0,0
Nova Scotia,Hostage-taking,0,0.11,0,0,0
Nova Scotia,Trafficking in persons,0,0.11,0,0,0
Nova Scotia,Intimidation of a justice system participant or a journalist,1.6,0.96,1.27,3.8,3.16
Nova Scotia,Intimidation of a non-justice participant,0.21,0.43,1.06,0.84,0.74
Nova Scotia,Explosives causing death or bodily harm,0.11,0.11,0.11,0.11,0
Nova Scotia,"Arson, disregard for human life",1.49,1.06,1.16,1.79,0.95
Nova Scotia,Other violent violations,0.96,1.17,1.16,1.48,1.69
New Brunswick,Total violent Criminal Code violations (16),1500.58,1545.85,1519.47,1488.21,1475.63
New Brunswick,"Homicide (17,24)",0.4,1.6,1.2,1.06,0.79
New Brunswick,"Murder, first degree (17,24)",0.13,0.93,0.8,0.4,0.53
New Brunswick,"Murder, second degree (17,24)",0.13,0.4,0.27,0.53,0.26
New Brunswick,"Manslaughter (17,24)",0.13,0.27,0.13,0.13,0
New Brunswick,"Infanticide (17,24)",0,0,0,0,0
New Brunswick,Total other violations causing death,0.27,0.13,0.53,0.13,0.13
New Brunswick,Criminal negligence causing death,0.27,0.13,0.53,0.13,0.13
New Brunswick,Other related violations causing death,0,0,0,0,0
New Brunswick,Attempted murder,0.94,1.33,1.73,2.12,1.46
New Brunswick,"Sexual assault, level 3, aggravated",0.8,0.53,0,0.13,0.13
New Brunswick,"Sexual assault, level 2, weapon or bodily harm",1.2,0.53,0.4,1.06,1.06
New Brunswick,"Sexual assault, level 1",75.38,75.21,78.1,72.02,64.69
New Brunswick,Total sexual violations against children (26),6.83,12.53,17.8,18.53,17.73
New Brunswick,Sexual interference (26),3.08,6.93,11.56,11.52,12.57
New Brunswick,Invitation to sexual touching (26),0.4,2.67,3.45,3.44,1.59
New Brunswick,Sexual exploitation (26),0.67,0.27,0.27,0.79,0.79
New Brunswick,Making sexually explicit material available to children (48),,,,,0
New Brunswick,Luring a child via a computer (26),2.68,2.67,2.52,2.78,2.78
New Brunswick,"Assault, level 3, aggravated",7.77,7.2,7.7,6.22,6.48
New Brunswick,"Assault, level 2, weapon or bodily harm",144.6,145.48,123.26,126.83,126.2
New Brunswick,"Assault, level 1",628.99,676.05,664.37,644.88,634.83
New Brunswick,"Total assaults against a peace officer (25,35)",35.61,40.27,51.14,26.48,29.76
New Brunswick,Total other assaults,3.21,1.87,1.33,1.72,2.78
New Brunswick,Unlawfully causing bodily harm,0.27,0.13,0,0.26,0.13
New Brunswick,Criminal negligence causing bodily harm,1.74,0.93,0.66,0.66,0.4
New Brunswick,Other assaults,1.2,0.8,0.66,0.79,2.25
New Brunswick,"Total firearms; use of, discharge, pointing",4.82,4.8,7.84,7.28,9.52
New Brunswick,Discharge firearm with intent,1.87,2,4.12,1.99,3.84
New Brunswick,Using firearm in commission of offence,0.8,0.67,1.06,1.59,0.53
New Brunswick,Pointing a firearm,2.14,2.13,2.66,3.71,5.16
New Brunswick,Total robbery (18),28.12,26.54,18.99,18.4,21.69
New Brunswick,Robbery (18),28.12,26.54,18.99,18.4,21.69
New Brunswick,Robbery to steal a firearm (18),,,0,0,0
New Brunswick,Total forcible confinement or kidnapping (34),5.49,7.2,7.7,7.15,3.44
New Brunswick,Forcible confinement or kidnapping (34),5.49,7.2,7.17,1.99,0.26
New Brunswick,Kidnapping (34),,,0,0.13,0.26
New Brunswick,Forcible confinement (34),,,0.53,5.03,2.91
New Brunswick,Total abduction,2.01,1.47,0.53,1.32,1.72
New Brunswick,"Abduction under the age 14, not parent or guardian",0.94,0.93,0.13,0.79,1.19
New Brunswick,Abduction under the age 16,0.27,0.13,0,0.13,0.26
New Brunswick,Removal of children from Canada,0,0,0,0,0
New Brunswick,Abduction under the age 14 contravening a custody order,0.27,0.13,0.4,0,0.26
New Brunswick,"Abduction under age 14, by parent or guardian",0.54,0.27,0,0.4,0
New Brunswick,Extortion,1.87,1.47,1.46,1.72,2.12
New Brunswick,Criminal harassment (36),79.8,81.47,87.93,94.26,91.14
New Brunswick,Uttering threats,339.8,343.09,328.33,341.84,342.48
New Brunswick,Threatening or harassing phone calls,105.23,96.41,105.46,100.88,103.58
New Brunswick,Total other violent violations,27.45,20.67,13.68,14.17,13.89
New Brunswick,Conspire to commit murder,0,0,0.13,0,0
New Brunswick,Other sexual violations,21.02,12.67,2.79,2.65,1.98
New Brunswick,Sexual Exploitation of a person with a disability,0,0,0.13,0.4,0.53
New Brunswick,Incest,0.8,0.27,1.2,0.79,0.79
New Brunswick,Corrupting morals of a child,0,0.13,0,0.26,0.4
New Brunswick,Anal intercourse,0.13,0,0.13,0,0
New Brunswick,"Bestiality, commit or compel person",0,0,0,0.13,0.26
New Brunswick,Voyeurism,1.34,1.87,1.99,3.18,2.65
New Brunswick,Trap likely to or causing bodily harm,,,0,0,0
New Brunswick,Hostage-taking,0.13,0,0.27,0.26,0.26
New Brunswick,Trafficking in persons,0,0,0,0,0
New Brunswick,Intimidation of a justice system participant or a journalist,0.27,0.67,0.8,0.26,0.53
New Brunswick,Intimidation of a non-justice participant,0,1.2,3.59,3.57,2.25
New Brunswick,Explosives causing death or bodily harm,0.4,0,0,0,0
