,,"Violent Crime Rates (per 100,000 population)",,,,
"Kitchener-Cambridge-Waterloo, Ontario",Explosives causing death or bodily harm,0.2,0,0,0,0
"Kitchener-Cambridge-Waterloo, Ontario","Arson, disregard for human life",0.59,1.35,1.53,0.19,1.86
"Kitchener-Cambridge-Waterloo, Ontario",Other violent violations,1.37,1.55,1.53,0.57,1.3
"Brantford, Ontario (8)",Total violent Criminal Code violations (16),1629.39,1692.62,1640.97,1443.26,1321.5
"Brantford, Ontario (8)","Homicide (17,24)",1.45,1.44,0.72,1.42,0
"Brantford, Ontario (8)","Murder, first degree (17,24)",0,1.44,0,0.71,0
"Brantford, Ontario (8)","Murder, second degree (17,24)",1.45,0,0.72,0.71,0
"Brantford, Ontario (8)","Manslaughter (17,24)",,,0,0,0
"Brantford, Ontario (8)","Infanticide (17,24)",,,0,0,0
"Brantford, Ontario (8)",Total other violations causing death,0,0.72,0.72,0.71,0.71
"Brantford, Ontario (8)",Criminal negligence causing death,0,0.72,0.72,0.71,0.71
"Brantford, Ontario (8)",Other related violations causing death,0,0,0,0,0
"Brantford, Ontario (8)",Attempted murder,2.18,2.88,2.15,2.14,1.42
"Brantford, Ontario (8)","Sexual assault, level 3, aggravated",0.73,0,0,0,0.71
"Brantford, Ontario (8)","Sexual assault, level 2, weapon or bodily harm",2.9,0.72,0.72,0.71,2.13
"Brantford, Ontario (8)","Sexual assault, level 1",82.7,93.67,85.27,94.74,68.73
"Brantford, Ontario (8)",Total sexual violations against children (26),2.18,6.49,10.03,9.97,8.5
"Brantford, Ontario (8)",Sexual interference (26),0,2.16,5.02,4.27,7.79
"Brantford, Ontario (8)",Invitation to sexual touching (26),0.73,2.16,2.87,4.27,0
"Brantford, Ontario (8)",Sexual exploitation (26),0.73,0,0.72,0,0
"Brantford, Ontario (8)",Making sexually explicit material available to children (48),,,,,0
"Brantford, Ontario (8)",Luring a child via a computer (26),0.73,2.16,1.43,1.42,0.71
"Brantford, Ontario (8)","Assault, level 3, aggravated",7.98,10.09,13.61,9.97,10.63
"Brantford, Ontario (8)","Assault, level 2, weapon or bodily harm",153.8,145.56,173.41,123.95,125.42
"Brantford, Ontario (8)","Assault, level 1",692.82,682.38,688.63,641.13,586.7
"Brantford, Ontario (8)","Total assaults against a peace officer (25,35)",28.29,33.87,35.83,27.07,18.42
"Brantford, Ontario (8)",Total other assaults,18.86,37.47,56.61,29.92,37.55
"Brantford, Ontario (8)",Unlawfully causing bodily harm,0,0.72,1.43,0,0
"Brantford, Ontario (8)",Criminal negligence causing bodily harm,0.73,2.88,0.72,0.71,0.71
"Brantford, Ontario (8)",Other assaults,18.14,33.87,54.46,29.21,36.85
"Brantford, Ontario (8)","Total firearms; use of, discharge, pointing",13.78,18.01,20.78,18.52,14.88
"Brantford, Ontario (8)",Discharge firearm with intent,0,0,1.43,2.85,0
"Brantford, Ontario (8)",Using firearm in commission of offence,5.08,8.65,7.17,3.56,6.38
"Brantford, Ontario (8)",Pointing a firearm,8.71,9.37,12.18,12.11,8.5
"Brantford, Ontario (8)",Total robbery (18),54.41,53.32,67.36,61.26,48.89
"Brantford, Ontario (8)",Robbery (18),54.41,53.32,67.36,61.26,48.89
"Brantford, Ontario (8)",Robbery to steal a firearm (18),,,0,0,0
"Brantford, Ontario (8)",Total forcible confinement or kidnapping (34),16.69,10.81,15.76,15.67,9.21
"Brantford, Ontario (8)",Forcible confinement or kidnapping (34),16.69,10.81,15.76,1.42,0
"Brantford, Ontario (8)",Kidnapping (34),,,0,0,0
"Brantford, Ontario (8)",Forcible confinement (34),,,0,14.25,9.21
"Brantford, Ontario (8)",Total abduction,0,1.44,0,0,0
"Brantford, Ontario (8)","Abduction under the age 14, not parent or guardian",0,0.72,0,0,0
"Brantford, Ontario (8)",Abduction under the age 16,,,0,0,0
"Brantford, Ontario (8)",Removal of children from Canada,,,0,0,0
"Brantford, Ontario (8)",Abduction under the age 14 contravening a custody order,0,0,0,0,0
"Brantford, Ontario (8)","Abduction under age 14, by parent or guardian",0,0.72,0,0,0
"Brantford, Ontario (8)",Extortion,2.9,3.6,2.87,4.99,3.54
"Brantford, Ontario (8)",Criminal harassment (36),91.41,98.72,109.64,82.63,102.04
"Brantford, Ontario (8)",Uttering threats,299.62,308.4,262.98,232.23,229.58
"Brantford, Ontario (8)",Threatening or harassing phone calls,142.19,154.92,73.81,67.67,39.68
"Brantford, Ontario (8)",Total other violent violations,14.51,28.1,20.06,18.52,12.75
"Brantford, Ontario (8)",Conspire to commit murder,0,0,0,0,0
"Brantford, Ontario (8)",Other sexual violations,6.53,3.6,0,0.71,0
"Brantford, Ontario (8)",Sexual Exploitation of a person with a disability,0,0,0,0.71,0
"Brantford, Ontario (8)",Incest,0.73,1.44,0.72,0.71,0
"Brantford, Ontario (8)",Corrupting morals of a child,,,0,0,0
"Brantford, Ontario (8)",Anal intercourse,0,0,0,0,0
"Brantford, Ontario (8)","Bestiality, commit or compel person",,,0,0,0
"Brantford, Ontario (8)",Voyeurism,0.73,2.16,3.58,0.71,2.13
"Brantford, Ontario (8)",Trap likely to or causing bodily harm,,,0,0,0
"Brantford, Ontario (8)",Hostage-taking,0,0,0,0,0
"Brantford, Ontario (8)",Trafficking in persons,0,0.72,0,0,0
"Brantford, Ontario (8)",Intimidation of a justice system participant or a journalist,0.73,5.04,2.15,1.42,0.71
"Brantford, Ontario (8)",Intimidation of a non-justice participant,0,6.49,5.73,6.41,4.25
"Brantford, Ontario (8)",Explosives causing death or bodily harm,0,0,0,0,0.71
"Brantford, Ontario (8)","Arson, disregard for human life",2.9,4.32,6.45,3.56,2.83
"Brantford, Ontario (8)",Other violent violations,2.9,4.32,1.43,4.27,2.13
"Guelph, Ontario (8)",Total violent Criminal Code violations (16),806.6,791.27,847.82,814.47,875.12
"Guelph, Ontario (8)","Homicide (17,24)",0,0.81,0,0.79,0
"Guelph, Ontario (8)","Murder, first degree (17,24)",0,0,0,0.79,0
"Guelph, Ontario (8)","Murder, second degree (17,24)",0,0.81,0,0,0
"Guelph, Ontario (8)","Manslaughter (17,24)",,,0,0,0
"Guelph, Ontario (8)","Infanticide (17,24)",,,0,0,0
"Guelph, Ontario (8)",Total other violations causing death,0,0,0,0,0
"Guelph, Ontario (8)",Criminal negligence causing death,0,0,0,0,0
"Guelph, Ontario (8)",Other related violations causing death,,,0,0,0
"Guelph, Ontario (8)",Attempted murder,1.64,0,0,0.79,0
"Guelph, Ontario (8)","Sexual assault, level 3, aggravated",,,0,0.79,0.79
"Guelph, Ontario (8)","Sexual assault, level 2, weapon or bodily harm",0,0,0.8,0,0.79
"Guelph, Ontario (8)","Sexual assault, level 1",56.56,50.37,50.58,74.69,77.12
"Guelph, Ontario (8)",Total sexual violations against children (26),0,2.44,1.61,11.92,14.95
"Guelph, Ontario (8)",Sexual interference (26),0,0.81,0,3.97,7.08
"Guelph, Ontario (8)",Invitation to sexual touching (26),0,0.81,0,0,3.15
"Guelph, Ontario (8)",Sexual exploitation (26),,,0,0,0.79
"Guelph, Ontario (8)",Making sexually explicit material available to children (48),,,,,0
"Guelph, Ontario (8)",Luring a child via a computer (26),,0.81,1.61,7.95,3.93
"Guelph, Ontario (8)","Assault, level 3, aggravated",3.28,4.87,3.21,7.15,8.66
"Guelph, Ontario (8)","Assault, level 2, weapon or bodily harm",90.17,90.99,107.58,92.97,62.17
"Guelph, Ontario (8)","Assault, level 1",384.45,355.83,395.81,348.83,343.91
"Guelph, Ontario (8)","Total assaults against a peace officer (25,35)",30.33,26,25.69,26.22,15.74
"Guelph, Ontario (8)",Total other assaults,8.2,11.37,8.83,8.74,9.44
"Guelph, Ontario (8)",Unlawfully causing bodily harm,,,0,0.79,0.79
"Guelph, Ontario (8)",Criminal negligence causing bodily harm,0,0.81,0,0,0
"Guelph, Ontario (8)",Other assaults,8.2,10.56,8.83,7.95,8.66
"Guelph, Ontario (8)","Total firearms; use of, discharge, pointing",0,0.81,3.21,3.97,4.72
"Guelph, Ontario (8)",Discharge firearm with intent,,,0,0.79,0.79
"Guelph, Ontario (8)",Using firearm in commission of offence,0,0,3.21,1.59,2.36
"Guelph, Ontario (8)",Pointing a firearm,0,0.81,0,1.59,1.57
"Guelph, Ontario (8)",Total robbery (18),33.61,49.56,35.33,27.02,40.92
"Guelph, Ontario (8)",Robbery (18),33.61,49.56,35.33,27.02,40.92
"Guelph, Ontario (8)",Robbery to steal a firearm (18),,,0,0,0
"Guelph, Ontario (8)",Total forcible confinement or kidnapping (34),9.84,10.56,9.63,3.18,10.23
"Guelph, Ontario (8)",Forcible confinement or kidnapping (34),9.84,10.56,9.63,1.59,0
"Guelph, Ontario (8)",Kidnapping (34),,,0,0,0.79
"Guelph, Ontario (8)",Forcible confinement (34),,,0,1.59,9.44
"Guelph, Ontario (8)",Total abduction,0.82,0,0,0,0.79
"Guelph, Ontario (8)","Abduction under the age 14, not parent or guardian",0.82,0,0,0,0.79
"Guelph, Ontario (8)",Abduction under the age 16,,,0,0,0
"Guelph, Ontario (8)",Removal of children from Canada,,,0,0,0
"Guelph, Ontario (8)",Abduction under the age 14 contravening a custody order,,,0,0,0
"Guelph, Ontario (8)","Abduction under age 14, by parent or guardian",,,0,0,0
"Guelph, Ontario (8)",Extortion,1.64,1.62,9.63,15.1,3.15
"Guelph, Ontario (8)",Criminal harassment (36),53.28,57.68,61.82,54.83,103.88
"Guelph, Ontario (8)",Uttering threats,54.92,95.05,115.61,112.04,139.3
"Guelph, Ontario (8)",Threatening or harassing phone calls,73.77,28.43,15.25,24.63,29.12
"Guelph, Ontario (8)",Total other violent violations,4.1,4.87,3.21,0.79,9.44
"Guelph, Ontario (8)",Conspire to commit murder,,,0,0,0
"Guelph, Ontario (8)",Other sexual violations,,,0,0,0
"Guelph, Ontario (8)",Sexual Exploitation of a person with a disability,0,0,0,0,0
"Guelph, Ontario (8)",Incest,,,0,0,0.79
"Guelph, Ontario (8)",Corrupting morals of a child,,,0,0,0
"Guelph, Ontario (8)",Anal intercourse,,,0,0,0
"Guelph, Ontario (8)","Bestiality, commit or compel person",,,0,0,0
"Guelph, Ontario (8)",Voyeurism,,,0,0.79,5.51
"Guelph, Ontario (8)",Trap likely to or causing bodily harm,,,0,0,0
"Guelph, Ontario (8)",Hostage-taking,,,0,0,0
"Guelph, Ontario (8)",Trafficking in persons,,,0,0,0
"Guelph, Ontario (8)",Intimidation of a justice system participant or a journalist,0,0.81,0.8,0,0
"Guelph, Ontario (8)",Intimidation of a non-justice participant,0,0.81,0.8,0,0
"Guelph, Ontario (8)",Explosives causing death or bodily harm,0,0,0,0,0
"Guelph, Ontario (8)","Arson, disregard for human life",1.64,1.62,0.8,0,3.15
"Guelph, Ontario (8)",Other violent violations,2.46,1.62,0.8,0,0
"London, Ontario",Total violent Criminal Code violations (16),983.43,958.39,1011.8,953.15,889.56
"London, Ontario","Homicide (17,24)",0.41,0.61,1.82,1.81,1.59
"London, Ontario","Murder, first degree (17,24)",0,0.2,0.2,0.4,0.2
"London, Ontario","Murder, second degree (17,24)",0.41,0.41,1.42,1.4,1
"London, Ontario","Manslaughter (17,24)",0,0,0.2,0,0.4
"London, Ontario","Infanticide (17,24)",,,0,0,0
"London, Ontario",Total other violations causing death,0,0,0,0.4,0.6
"London, Ontario",Criminal negligence causing death,0,0,0,0.4,0.6
"London, Ontario",Other related violations causing death,0,0,0,0,0
"London, Ontario",Attempted murder,1.23,0.41,0.81,0.4,2.59
"London, Ontario","Sexual assault, level 3, aggravated",0,0.2,0.4,0.8,0
"London, Ontario","Sexual assault, level 2, weapon or bodily harm",0.41,0.82,1.21,1.81,1.19
"London, Ontario","Sexual assault, level 1",46.22,53.26,57.01,50.35,53.35
"London, Ontario",Total sexual violations against children (26),3.49,4.69,8.89,11.23,11.54
"London, Ontario",Sexual interference (26),1.23,3.06,5.26,7.82,5.97
"London, Ontario",Invitation to sexual touching (26),0.41,0.41,1.21,0.6,0.4
"London, Ontario",Sexual exploitation (26),0.21,0.2,0,0.2,0.4
"London, Ontario",Making sexually explicit material available to children (48),,,,,0.2
"London, Ontario",Luring a child via a computer (26),1.64,1.02,2.43,2.61,4.58
"London, Ontario","Assault, level 3, aggravated",8.22,8.37,7.68,5.82,7.36
"London, Ontario","Assault, level 2, weapon or bodily harm",112.37,109.98,113.81,99.29,93.16
"London, Ontario","Assault, level 1",455.25,446.24,425.95,406.37,387.35
"London, Ontario","Total assaults against a peace officer (25,35)",27.73,28.36,30.53,26.88,26.87
"London, Ontario",Total other assaults,2.47,4.69,2.63,3.21,2.39
"London, Ontario",Unlawfully causing bodily harm,0.82,1.22,2.22,1.6,1.19
"London, Ontario",Criminal negligence causing bodily harm,0,0.41,0.2,0.2,0.4
"London, Ontario",Other assaults,1.64,3.06,0.2,1.4,0.8
"London, Ontario","Total firearms; use of, discharge, pointing",3.29,2.04,2.22,2.41,1.19
"London, Ontario",Discharge firearm with intent,0.21,0.61,1.01,0.8,0.6
"London, Ontario",Using firearm in commission of offence,0.41,0.2,0.2,0,0
"London, Ontario",Pointing a firearm,2.67,1.22,1.01,1.6,0.6
"London, Ontario",Total robbery (18),72.93,84.07,81.47,78.83,63.3
"London, Ontario",Robbery (18),72.93,84.07,81.47,78.83,63.3
"London, Ontario",Robbery to steal a firearm (18),,,0,0,0
"London, Ontario",Total forcible confinement or kidnapping (34),12.12,13.06,15.16,13.04,9.75
"London, Ontario",Forcible confinement or kidnapping (34),12.12,13.06,1.62,0,0
"London, Ontario",Kidnapping (34),,,0.2,0,0.2
"London, Ontario",Forcible confinement (34),,,13.34,13.04,9.55
"London, Ontario",Total abduction,0.82,0.61,0.81,0.6,1.39
"London, Ontario","Abduction under the age 14, not parent or guardian",0.21,0.2,0.4,0.2,0.6
"London, Ontario",Abduction under the age 16,0,0.2,0,0,0
"London, Ontario",Removal of children from Canada,0,0,0,0,0
"London, Ontario",Abduction under the age 14 contravening a custody order,0.21,0,0,0.4,0.4
"London, Ontario","Abduction under age 14, by parent or guardian",0.41,0.2,0.4,0,0.4
"London, Ontario",Extortion,2.88,2.65,4.04,2.01,1.59
"London, Ontario",Criminal harassment (36),41.91,41.62,65.09,53.75,51.36
"London, Ontario",Uttering threats,134.36,118.96,134.64,122.55,107.89
"London, Ontario",Threatening or harassing phone calls,44.99,32.44,49.33,52.95,54.34
"London, Ontario",Total other violent violations,12.33,5.31,8.29,18.65,10.75
"London, Ontario",Conspire to commit murder,0,0,0,0,0
"London, Ontario",Other sexual violations,2.67,0,0,0,0
"London, Ontario",Sexual Exploitation of a person with a disability,0,0,0,0,0
"London, Ontario",Incest,0.41,0.41,0.81,0.2,0
"London, Ontario",Corrupting morals of a child,0,0,0.4,0,0
"London, Ontario",Anal intercourse,0,0,0.2,0,0
"London, Ontario","Bestiality, commit or compel person",0,0,0,0,0
"London, Ontario",Voyeurism,5.96,2.65,2.02,14.44,4.18
"London, Ontario",Trap likely to or causing bodily harm,,,0,0,0
"London, Ontario",Hostage-taking,0,0,0,0,0
"London, Ontario",Trafficking in persons,0,0,0,0.2,0
"London, Ontario",Intimidation of a justice system participant or a journalist,0.41,0.2,1.01,1.2,1.19
"London, Ontario",Intimidation of a non-justice participant,,,0.2,0,0.2
"London, Ontario",Explosives causing death or bodily harm,0,0,0,0,0
"London, Ontario","Arson, disregard for human life",0.62,1.63,1.01,0.6,2.19
"London, Ontario",Other violent violations,2.26,0.41,2.63,2.01,2.99
"Windsor, Ontario",Total violent Criminal Code violations (16),999.87,1022.15,987.42,909.51,970.24
"Windsor, Ontario","Homicide (17,24)",2.11,1.51,0,0.3,0.9
"Windsor, Ontario","Murder, first degree (17,24)",1.2,0,0,0.3,0.6
"Windsor, Ontario","Murder, second degree (17,24)",0.3,1.51,0,0,0.3
"Windsor, Ontario","Manslaughter (17,24)",0.6,0,0,0,0
"Windsor, Ontario","Infanticide (17,24)",,,0,0,0
"Windsor, Ontario",Total other violations causing death,0,0,0,0.3,0
"Windsor, Ontario",Criminal negligence causing death,0,0,0,0.3,0
"Windsor, Ontario",Other related violations causing death,0,0,0,0,0
"Windsor, Ontario",Attempted murder,2.71,4.23,0.91,0,1.51
"Windsor, Ontario","Sexual assault, level 3, aggravated",0.6,0.3,1.21,0,0
"Windsor, Ontario","Sexual assault, level 2, weapon or bodily harm",1.5,1.51,0.91,1.21,0.9
"Windsor, Ontario","Sexual assault, level 1",50.84,59.25,57.73,58.26,57.89
"Windsor, Ontario",Total sexual violations against children (26),2.71,4.84,5.74,6.94,6.93
"Windsor, Ontario",Sexual interference (26),0.6,2.12,2.12,3.62,2.11
"Windsor, Ontario",Invitation to sexual touching (26),0.9,0.6,2.72,1.51,1.81
"Windsor, Ontario",Sexual exploitation (26),0.3,0.6,0,0.6,0
"Windsor, Ontario",Making sexually explicit material available to children (48),,,,,0
"Windsor, Ontario",Luring a child via a computer (26),0.9,1.51,0.91,1.21,3.02
"Windsor, Ontario","Assault, level 3, aggravated",5.72,4.53,7.25,7.55,11.46
"Windsor, Ontario","Assault, level 2, weapon or bodily harm",103.48,94.02,101.25,83.92,101.61
"Windsor, Ontario","Assault, level 1",318.25,363.69,326.42,326.61,344.32
"Windsor, Ontario","Total assaults against a peace officer (25,35)",36.7,35.07,43.52,30.19,18.39
"Windsor, Ontario",Total other assaults,7.22,10.58,10.58,11.17,11.76
"Windsor, Ontario",Unlawfully causing bodily harm,0,0.91,0,0,0
"Windsor, Ontario",Criminal negligence causing bodily harm,0.6,1.21,0,0.6,0.3
"Windsor, Ontario",Other assaults,6.62,8.46,10.58,10.57,11.46
"Windsor, Ontario","Total firearms; use of, discharge, pointing",0.6,0.91,0.91,4.83,1.21
"Windsor, Ontario",Discharge firearm with intent,0,0.3,0,1.21,0.3
"Windsor, Ontario",Using firearm in commission of offence,0,0.3,0.3,0.6,0.3
"Windsor, Ontario",Pointing a firearm,0.6,0.3,0.6,3.02,0.6
"Windsor, Ontario",Total robbery (18),83.32,76.18,75.86,69.13,70.85
"Windsor, Ontario",Robbery (18),83.32,76.18,75.86,69.13,70.85
"Windsor, Ontario",Robbery to steal a firearm (18),,,0,0,0
"Windsor, Ontario",Total forcible confinement or kidnapping (34),13.24,10.58,12.69,8.45,9.65
"Windsor, Ontario",Forcible confinement or kidnapping (34),13.24,10.58,5.44,0,0
"Windsor, Ontario",Kidnapping (34),,,0,0.3,0
"Windsor, Ontario",Forcible confinement (34),,,7.25,8.15,9.65
"Windsor, Ontario",Total abduction,2.11,0.91,0.91,1.51,0.9
"Windsor, Ontario","Abduction under the age 14, not parent or guardian",0.6,0,0.3,0.6,0.3
"Windsor, Ontario",Abduction under the age 16,0.3,0,0,0,0.3
"Windsor, Ontario",Removal of children from Canada,0,0,0,0,0
"Windsor, Ontario",Abduction under the age 14 contravening a custody order,0.3,0,0,0,0.3
"Windsor, Ontario","Abduction under age 14, by parent or guardian",0.9,0.91,0.6,0.91,0
"Windsor, Ontario",Extortion,4.21,1.51,2.72,1.21,2.11
"Windsor, Ontario",Criminal harassment (36),56.85,61.98,71.03,53.43,69.35
"Windsor, Ontario",Uttering threats,200.34,182,175.6,182.02,190.55
"Windsor, Ontario",Threatening or harassing phone calls,103.48,105.21,87.95,58.86,65.43
"Windsor, Ontario",Total other violent violations,3.91,3.33,4.23,3.62,4.52
"Windsor, Ontario",Conspire to commit murder,0,0,0,0,0
"Windsor, Ontario",Other sexual violations,1.2,0,0,0,0
"Windsor, Ontario",Sexual Exploitation of a person with a disability,0,0,0.3,0.3,0
"Windsor, Ontario",Incest,0,0,1.51,0,0.9
"Windsor, Ontario",Corrupting morals of a child,0,0,0.3,0.3,0
"Windsor, Ontario",Anal intercourse,0,0,0,0.3,0
"Windsor, Ontario","Bestiality, commit or compel person",0,0,0,0.3,0
"Windsor, Ontario",Voyeurism,0.3,0.3,0.6,1.51,1.21
"Windsor, Ontario",Trap likely to or causing bodily harm,,,0,0,0
"Windsor, Ontario",Hostage-taking,0,0,0,0,0
"Windsor, Ontario",Trafficking in persons,0,0,0,0,0
"Windsor, Ontario",Intimidation of a justice system participant or a journalist,0,0.3,0.3,0,0
"Windsor, Ontario",Intimidation of a non-justice participant,0,0.3,0.3,0,0
"Windsor, Ontario",Explosives causing death or bodily harm,0,0,0,0,0
"Windsor, Ontario","Arson, disregard for human life",2.11,0,0.6,0.6,0.9
"Windsor, Ontario",Other violent violations,0.3,2.42,0.3,0.3,1.51
"Barrie, Ontario (8)",Total violent Criminal Code violations (16),920.99,945.53,934.99,814.88,796.56
"Barrie, Ontario (8)","Homicide (17,24)",0,0.51,1.01,0.5,0.99
"Barrie, Ontario (8)","Murder, first degree (17,24)",0,0,0,0,0.99
"Barrie, Ontario (8)","Murder, second degree (17,24)",0,0.51,0.5,0.5,0
"Barrie, Ontario (8)","Manslaughter (17,24)",,,0.5,0,0
"Barrie, Ontario (8)","Infanticide (17,24)",,,0,0,0
"Barrie, Ontario (8)",Total other violations causing death,0,0,0,0,0
"Barrie, Ontario (8)",Criminal negligence causing death,0,0,0,0,0
"Barrie, Ontario (8)",Other related violations causing death,0,0,0,0,0
"Barrie, Ontario (8)",Attempted murder,1.03,0,0.5,0.5,1.98
"Barrie, Ontario (8)","Sexual assault, level 3, aggravated",0,0.51,0.5,2.5,1.98
"Barrie, Ontario (8)","Sexual assault, level 2, weapon or bodily harm",0,1.53,1.01,1,0.99
"Barrie, Ontario (8)","Sexual assault, level 1",71.87,57.57,65.06,47.43,64.81
"Barrie, Ontario (8)",Total sexual violations against children (26),3.59,5.6,5.55,3.99,2.97
"Barrie, Ontario (8)",Sexual interference (26),1.03,2.55,1.51,3,1.48
"Barrie, Ontario (8)",Invitation to sexual touching (26),0.51,3.06,0.5,0.5,0.99
"Barrie, Ontario (8)",Sexual exploitation (26),0.51,0,0,0,0
"Barrie, Ontario (8)",Making sexually explicit material available to children (48),,,,,0
"Barrie, Ontario (8)",Luring a child via a computer (26),1.54,0,3.53,0.5,0.49
"Barrie, Ontario (8)","Assault, level 3, aggravated",7.7,5.6,3.53,4.99,4.95
"Barrie, Ontario (8)","Assault, level 2, weapon or bodily harm",79.06,81.51,79.18,62.41,61.35
"Barrie, Ontario (8)","Assault, level 1",405.56,421.31,417.06,368.99,339.9
"Barrie, Ontario (8)","Total assaults against a peace officer (25,35)",11.81,31.59,24.21,12.98,22.76
"Barrie, Ontario (8)",Total other assaults,24.13,40.25,31.27,23.47,24.24
"Barrie, Ontario (8)",Unlawfully causing bodily harm,2.05,2.55,3.53,3,3.46
"Barrie, Ontario (8)",Criminal negligence causing bodily harm,0,0,0,0.5,0.49
"Barrie, Ontario (8)",Other assaults,22.07,37.7,27.74,19.97,20.29
"Barrie, Ontario (8)","Total firearms; use of, discharge, pointing",1.03,1.02,3.53,2,0.99
"Barrie, Ontario (8)",Discharge firearm with intent,0,0,0.5,0.5,0
"Barrie, Ontario (8)",Using firearm in commission of offence,0.51,0.51,1.01,1,0.99
"Barrie, Ontario (8)",Pointing a firearm,0.51,0.51,2.02,0.5,0
"Barrie, Ontario (8)",Total robbery (18),45.18,44.83,33.28,39.94,24.74
"Barrie, Ontario (8)",Robbery (18),45.18,44.83,33.28,39.94,24.74
"Barrie, Ontario (8)",Robbery to steal a firearm (18),,,0,0,0
"Barrie, Ontario (8)",Total forcible confinement or kidnapping (34),11.29,10.7,6.05,3,2.47
"Barrie, Ontario (8)",Forcible confinement or kidnapping (34),11.29,10.7,6.05,0,0
"Barrie, Ontario (8)",Kidnapping (34),,,0,0,0
"Barrie, Ontario (8)",Forcible confinement (34),,,0,3,2.47
"Barrie, Ontario (8)",Total abduction,1.03,1.53,0.5,1,0.99
"Barrie, Ontario (8)","Abduction under the age 14, not parent or guardian",0,0.51,0,0.5,0
"Barrie, Ontario (8)",Abduction under the age 16,0.51,0.51,0,0,0.49
"Barrie, Ontario (8)",Removal of children from Canada,0,0,0,0,0
"Barrie, Ontario (8)",Abduction under the age 14 contravening a custody order,0,0,0.5,0,0.49
"Barrie, Ontario (8)","Abduction under age 14, by parent or guardian",0.51,0.51,0,0.5,0
"Barrie, Ontario (8)",Extortion,1.03,1.02,2.52,1.5,0.49
"Barrie, Ontario (8)",Criminal harassment (36),59.04,73.36,86.24,94.87,95.98
"Barrie, Ontario (8)",Uttering threats,141.18,137.04,146.25,123.83,124.68
"Barrie, Ontario (8)",Threatening or harassing phone calls,51.85,26.49,23.2,16.48,15.83
"Barrie, Ontario (8)",Total other violent violations,4.62,3.57,4.54,3.5,3.46
"Barrie, Ontario (8)",Conspire to commit murder,0,0,0,0,0
"Barrie, Ontario (8)",Other sexual violations,2.05,1.02,0,0,0
"Barrie, Ontario (8)",Sexual Exploitation of a person with a disability,0,0,0,0,0.49
"Barrie, Ontario (8)",Incest,0,0,0,0,0.49
"Barrie, Ontario (8)",Corrupting morals of a child,,,0,0,0
"Barrie, Ontario (8)",Anal intercourse,0,0,0,0,0
"Barrie, Ontario (8)","Bestiality, commit or compel person",,,0,0,0
"Barrie, Ontario (8)",Voyeurism,0.51,0,0,0,0.99
"Barrie, Ontario (8)",Trap likely to or causing bodily harm,,,0,0,0
"Barrie, Ontario (8)",Hostage-taking,,,0,0,0
"Barrie, Ontario (8)",Trafficking in persons,,,0,0,0
"Barrie, Ontario (8)",Intimidation of a justice system participant or a journalist,0,0,0,0.5,0
"Barrie, Ontario (8)",Intimidation of a non-justice participant,,,0,0,0
"Barrie, Ontario (8)",Explosives causing death or bodily harm,0,0,0,0,0
"Barrie, Ontario (8)","Arson, disregard for human life",0,0,0,0.5,0.49
"Barrie, Ontario (8)",Other violent violations,2.05,2.55,4.54,2.5,0.99
"Sudbury, Ontario",Total violent Criminal Code violations (16),1095.15,1144.37,1123.78,1074.81,1031.24
"Sudbury, Ontario","Homicide (17,24)",1.21,2.43,2.44,0,0.61
"Sudbury, Ontario","Murder, first degree (17,24)",0.61,2.43,0,0,0.61
"Sudbury, Ontario","Murder, second degree (17,24)",0.61,0,1.83,0,0
"Sudbury, Ontario","Manslaughter (17,24)",,,0.61,0,0
"Sudbury, Ontario","Infanticide (17,24)",,,0,0,0
"Sudbury, Ontario",Total other violations causing death,0,1.82,0,0.61,0
"Sudbury, Ontario",Criminal negligence causing death,0,1.82,0,0.61,0
"Sudbury, Ontario",Other related violations causing death,0,0,0,0,0
"Sudbury, Ontario",Attempted murder,1.21,4.85,1.83,1.83,2.44
"Sudbury, Ontario","Sexual assault, level 3, aggravated",0,0,1.22,0,1.83
"Sudbury, Ontario","Sexual assault, level 2, weapon or bodily harm",0.61,1.82,1.22,0.61,0
"Sudbury, Ontario","Sexual assault, level 1",71.59,69.78,69.47,78.03,73.83
"Sudbury, Ontario",Total sexual violations against children (26),2.43,3.64,6.7,5.49,8.54
"Sudbury, Ontario",Sexual interference (26),1.21,0,0.61,0.61,1.22
"Sudbury, Ontario",Invitation to sexual touching (26),0,0,0.61,1.83,0.61
"Sudbury, Ontario",Sexual exploitation (26),0,0,0.61,0,0.61
"Sudbury, Ontario",Making sexually explicit material available to children (48),,,,,0
"Sudbury, Ontario",Luring a child via a computer (26),1.21,3.64,4.88,3.05,6.1
"Sudbury, Ontario","Assault, level 3, aggravated",7.89,11.53,5.48,5.49,16.48
"Sudbury, Ontario","Assault, level 2, weapon or bodily harm",169.28,177.78,159.67,157.9,136.69
"Sudbury, Ontario","Assault, level 1",463.54,435.05,442.44,381.03,394.19
"Sudbury, Ontario","Total assaults against a peace officer (25,35)",31.55,31.55,26.21,40.24,39.66
"Sudbury, Ontario",Total other assaults,17.6,19.42,17.67,10.36,11.59
"Sudbury, Ontario",Unlawfully causing bodily harm,0.61,0,0,0,0
"Sudbury, Ontario",Criminal negligence causing bodily harm,0.61,2.43,0,0,0
"Sudbury, Ontario",Other assaults,16.38,16.99,17.67,10.36,11.59
